class_id,class_name,support,predicted_pixels,true_positive,false_positive,false_negative,precision,recall,f1,iou
1,Built-up,173461,187193,97561,89632,75900,0.5211786765530763,0.5624376661036198,0.5410226976548159,0.37082324501222
2,Cropland,1491586,1570323,1322897,247426,168689,0.8424362376402816,0.8869062863287802,0.8640994882604284,0.7607175798671889
3,Forest,2546505,2588476,2298243,290233,248262,0.8878749503568896,0.9025087325569752,0.8951320365158117,0.8101710485776268
4,Grassland,431429,275000,169232,105768,262197,0.6153890909090909,0.39225921298753674,0.4791196284410748,0.3150278203340674
5,Shrubland,3716,0,0,0,3716,0.0,0.0,0.0,0.0
6,Wetland,197457,198534,96329,102205,101128,0.48520152719433446,0.4878479871566974,0.4865211583091535,0.3214588436304904
7,Water,1128402,1158187,1078914,79273,49488,0.9315542308798147,0.9561432893596431,0.9436886121642324,0.8933810834868653
8,Bareland,189707,148696,73752,74944,115955,0.49599182224135147,0.3887679421423564,0.43588266061471087,0.2786764455830509
9,Mangrove Forest,11963,47817,8035,39782,3928,0.16803647238429847,0.6716542673242498,0.2688190030110405,0.15528070344960865
