class_id,class_name,support,predicted_pixels,true_positive,false_positive,false_negative,precision,recall,f1,iou
1,Built-up,173461,233132,100020,133112,73441,0.4290273321551739,0.5766137633243208,0.49199076226103255,0.3262518225675451
2,Cropland,1491586,1276355,1143452,132903,348134,0.8958730133857743,0.7666014564363034,0.8262112523352195,0.7038841137120657
3,Forest,2546505,2630439,2285913,344526,260592,0.8690233835492859,0.8976668021464713,0.8831128944025665,0.7906912793394467
4,Grassland,431429,397665,184637,213028,246792,0.46430286799190273,0.42796613115947235,0.4453946114674573,0.2865001078427265
5,Shrubland,3716,26056,39,26017,3677,0.0014967761743936137,0.010495156081808395,0.002619911326078194,0.001311673897689436
6,Wetland,197457,166439,77125,89314,120332,0.46338298115225396,0.3905913692601427,0.4238848462197991,0.2689428149987272
7,Water,1128402,1148994,1071445,77549,56957,0.932507045293535,0.949524194391715,0.9409386861134383,0.88846478837034
8,Bareland,189707,235119,94959,140160,94748,0.4038763349622957,0.5005561207546374,0.4470489094358631,0.28787056601600036
9,Mangrove Forest,11963,60027,5356,54671,6607,0.0892265147350359,0.44771378416785085,0.14879844422836505,0.08037938589909055
